State,Company,Plans
,,10. Coventry Premier Plus (PPO)
,,11. Coventry Select (no drug) (HMO)
,,12. Coventry Total Care (HMO POS)
,,13. Gold Advantage (HMO)
Missouri,CoxHealth,1. CoxHealth MedicarePlus (HMO)
Missouri,Essence Healthcare,1. Essence Advantage (HMO)
,,2. Essence Advantage Plus (HMO)
,,3. Essence Advantage Select (HMO)
Missouri,Humana,"1. Medicare Advantage, Medicare Supplement"
Montana,BlueCross BlueShield of Montana,1. Blue Cross Medicare Advantage Classic
,,2. Blue Cross Medicare Advantage
,,3. Optimum Blue Cross Medicare Advantage Basic
Montana,Humana,1. Medicare Advantage and Medicare Supplement
Nebraska,AARP® Medicare Supplement Insurance Plan,1. AARP® Medicare Supplement Insurance Plan
Nebraska,Blue Cross and Blue Shield of Nebraska,1. Medicare Advantage Core HMO
,,2. Medicare Advantage Choice HMO-POS
Nebraska,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Nebraska,Coventry Health Care,1. Coventry Medicare MAPD*
Nebraska,Humana,1. Medicare Advantage and Medicare Supplement
Nebraska,Medica,1. Medica Prime Solution®
Nebraska,UnitedHealthcare®,1. AARP MedicareComplete (HMO)
Nevada,Aetna Medicare,1. Aetna Medicare
Nevada,Anthem Blue Cross and Blue Shield,1. Anthem StartSmart Plus (HMO)
,,2. Anthem Value Plus (HMO)
,,3. Anthem Breathe (HMO SNP)
,,4. Anthem Diabetes (HMO SNP)
,,5. Anthem Heart (HMO SNP)
,,6. ANthem Care on Site (HMO SNP)
,,7. Anthem Connect Plus (HMO)
,,8. Anthem MediBlue Plus (HMO)
,,9. Anthem MediBlue Coordination Plus (HMO)
,,"10. Medicare Supplement Plans A, Innovative F,  Innovative G & Innovative N"
Nevada,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Nevada,Humana,1. Medicare Advantage and Medicare Supplement
New Hampshire,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Coordination Plus (HMO)
,,3. Anthem MediBlue Select (HMO)
,,4. Anthem MediBlue Plus (HMO)
,,"5. Medicare Supplement Plans A, F, G & N"
New Hampshire,Humana,1. Medicare Advantage and Medicare Supplement
New Hampshire,UnitedHealthcare®,1. AARP MedicareComplete Plan 1 (HMO)
,,2. AARP MedicareComplete Plan 2 (HMO)
,,3. AARP MedicareComplete Plan 3 (HMO)
,,4. AARP MedicareComplete Choice (Regional PPO)
,,5. UnitedHealthcare MedicareComplete Assure
New Jersey,Aetna Medicare,1. Aetna Medicare
New Jersey,Amerigroup,1. Amerivantage Classic (HMO)
,,2. Amerivantage Dual Coordination (HMO SNP)
,,3. Amerivantage ESRD (HMO-POS SNP)
New Jersey,Clover Health,1. CarePoint
,,2. CarePoint Green (PPO)
,,3. Classic
,,4. Classic Aqua (PPO)
,,5. Clover Health Choice (PPO)
,,6. Clover Health Choice Premier (PPO)
,,7. Clover Health Choice Value (PPO)
,,8. Clover Health Classic (HMO)
,,9. Clover Health Value (HMO)
,,10. Premier
,,11. Premier Orange (PPO)
,,12. Prestige
,,13. Purple (PPO)
New Jersey,Humana,1. Medicare Advantage and Medicare Supplement
New Jersey,WellCare,1. WellCare HMO-SNP and HMO-POS Plans
,,2. WellCare Liberty (HMO-SNP)
,,3. WellCare Medicare - HMO Plans
New Mexico,Aetna Medicare,1. Aetna Medicare
New Mexico,Amerigroup,1. Amerivantage Classic (HMO)
New Mexico,BlueCross BlueShield of New Mexico,1. Blue Cross Medicare Advantage Basic (HMO)
,,2. Blue Cross Medicare Advantage Choice Plus (PPO)
,,3. Blue Cross Medicare Advantage Choice Premier (PPO)
,,4. Blue Cross Medicare Advantage Premier (HMO)
,,5. Blue Cross Medicare Advantage Premier Plus (HMO-POS)
New Mexico,Humana,1. Medicare Advantage and Medicare Supplement
New Mexico,Presbyterian Health Plan of New Mexico,1. Presbyterian MediCare (PPO) Plan 1
,,2. Presbyterian MediCare (PPO) Plan 2 with Rx
,,3. Presbyterian MediCare (PPO) Plan 3 with Rx
,,4. Presbyterian Senior Care Plan 1 (HMO)
,,5. Presbyterian Senior Care Plan 2 with Rx (HMO)
,,6. Presbyterian Senior Care Plan 3 with Rx (HMO)
,,7. Presbyterian Dual Plus (HMO SNP)
New Mexico,UnitedHealthcare®,1. AARP MedicareComplete
,,2. AARP MedicareComplete Choice
,,3. UnitedHealthcare Dual Complete (HMO-POS SNP)
,,4. AARP MedicareComplete Choice (PPO)
,,5. UnitedHealthcare Dual Complete (PPO SNP)
,,6. UnitedHealthcare MedicareComplete Assure
New York,Aetna Medicare,1. Aetna Medicare
New York,AgeWell New York,1. LiveWell (MA-PD)
,,2. FeelWell (HMO SNP)
,,3. BeWell (HMO SNP)
,,4. StayWell (HMO)
New York,BlueCross BlueShield of Western New York,1. Senior Blue (HMO)
,,2. Forever Blue Medicare (PPO)
,,3. BlueCross BlueShield Blue Saver
New York,BlueShield of Northeastern New York,1. Senior Blue (HMO/HMO-POS)
,,2. Forever Blue Medicare (PPO)
,,3. BlueShield Blue Saver
New York,"Capital District Physicians' Health Plan, Inc./CDPHP Universal Benefits,® Inc. (CDPHP®)",1. Basic Rx HMO
,,2. Choice HMO
,,3. Choice Rx HMO
,,4. Value Rx HMO
,,5. Group Medicare Rx PPO
,,6. Group Medicare PPO
,,7. Group Medicare Rx HMO
,,8. Group Medicare HMO
,,9. $0 Medicare Rx
New York,EmblemHealth,1. EmblemHealth VIP Essential
,,2. EmblemHealth VIP Gold
,,3. EmblemHealth VIP Gold Plus
,,4. VIP Dual Plan (HMO DSNP)
New York,Empire BlueCross,1. Empire MediBlue Access (PPO)
,,2. Empire MediBlue Core (HMO)
,,3. Empire MediBlue Plus (HMO)
,,4. Empire MediBlue Dual Advantage (HMO SNP)
,,5. Empire MediBlue Select (HMO)
New York,Empire BlueCross BlueShield,1. Empire MediBlue Choice (HMO POS)
,,2. Empire MediBlue Core (HMO)
,,3. Empire MediBlue Select (HMO)
,,4. Empire MediBlue Dual Advantage Select (HMO SNP)
,,"5. MediBlue Medicare Supplement Plan A, B, C, F, G, H, K, L & N"
,,6. Empire MediBlue Dual Advantage (HMO SNP)
,,7. Empire MediBlue Plus (HMO)
New York,Fallon Health Weinberg,1. Fallon Health Weinberg-HMO SNP
New York,Healthfirst Medicare Plan,1. CompleteCare (HMO SNP)
,,2. Life Improvement Plan (HMO SNP)
New York,Humana,1. Medicare Advantage and Medicare Supplement
New York,MVP Health Care,1. GoldValue HMO-POS
,,2. Gold PPO
,,3. BasiCare PPO
,,4. GoldAnywhere PPO
,,5. USA Care PPO
,,6. WellSelect PPO
New York,WellCare,1. Wellcare Access (HMO SNP)
,,2. WellCare Advanced (HMO)
,,3. WellCare Choice (HMO POS)
,,4. WellCare Rx (HMO)
,,5. WellCare Value (HMO)
,,6. WellCare Essential (HMO)
,,7. WellCare Premier (PPO)
,,8. WellCare Liberty (HMO SNP)
North Carolina,Aetna Medicare,1. Aetna Medicare
North Carolina,Coventry Health Care,1. Advantra Gold (PPO)
North Carolina,Gateway Health Medicare Assured℠,1. Gateway Health Medicare Assured
North Carolina,HealthTeam Advantage,1. HealthTeam Advantage Plan I PPO
,,2. HealthTeam Advantage Plan II PPO
North Carolina,Humana,1. Medicare Advantage and Medicare Supplement
North Carolina,Teal Premier,1. Teal Premier Pro Plus PPO
,,2. Teal Premier Pro PPO
North Carolina,UnitedHealthcare®,1. North Carolina Dual Complete | Virginia Dual Complete
North Carolina,WellCare,1. WellCare Access (HMO SNP)
,,2. WellCare Value (HMO)
North Dakota,Blue Cross Blue Shield of North Dakota,1. Medicare Supplement
North Dakota,Humana,1. Medicare Advantage and Medicare Supplement
North Dakota,Medica,1. Medica Group Prime Solution
,,2. Medica Prime Solution®
Ohio,Aetna Better Health of Ohio,"1. Aetna Better Health of Ohio, a MyCare Ohio (Medicare-Medicaid) Plan"
Ohio,Aetna Medicare,1. Aetna Medicare
Ohio,Anthem Blue Cross and Blue Shield,1. Anthem MediBlue Access (PPO)
,,2. Anthem MediBlue Access Basic (Regional PPO)
,,3. Anthem MediBlue Access Core (Regional PPO)
,,4. Anthem MediBlue Access Plus (PPO)
,,5. Anthem MediBlue Dual Advantage (HMO SNP)
,,6. Anthem MediBlue Essential (HMO)
,,7. Anthem MediBlue Prime Select (HMO)
,,8. Anthem MediBlue Preferred (HMO)
,,9. Anthem MediBlue Extra (HMO)
,,10. Anthem MediBlue Plus (HMO)
,,"11. Medicare Supplement Plans A, F, Select F, G, Select G, N & Select N"
Ohio,CareSource,1. MyCare Ohio
Ohio,Colonial Penn Medicare Supplement Plan C,1. Medicare Supplement Plan C
Ohio,Coventry Health Care,1. Advantra Gold (PPO)
,,2. Advantra Silver (PPO)
,,3. Coventry Medicare MAPD*
Ohio,Gateway Health Medicare Assured℠,1. Gateway Health Medicare Assured
Ohio,Humana,1. Medicare Advantage and Medicare Supplement
Ohio,MediGold,1. MediGold Essential Care (HMO)
,,2. MediGold Classic Preferred (HMO)
,,3. MediGold Medical Only (HMO)
,,4. MediGold Flexible Choice (PPO)
,,5. MediGold Essential Care Southeast OH (HMO)
,,6. MediGold Essential Care Southwest OH (HMO)
,,7. MediGold Classic Preferred Southeast OH (HMO)
,,8. MediGold Classic Preferred Southwest OH (HMO)
Ohio,Medical Mutual,1. Medical Mutual Medicare Supplement Insurance
,,2. MedMutual Advantage Choice HMO Plan
,,3. MedMutual Advantage Classic HMO Plan
,,4. MedMutual Advantage Plus HMO Plan
,,5. MedMutual Advantage Preferred PPO Plan
,,6. MedMutual Advantage Premium PPO Plan
,,7. MedMutual Advantage Select PPO Plan
Ohio,Mutual of Omaha,1. CareAdvantage Complete
,,2. CareAdvantage Plus
Ohio,Paramount Elite,1. Paramount Elite (HMO)
,,2. Paramount Elite Enhanced Medical & Drug (HMO)
,,3. Paramount Elite Enhanced Medical Only (HMO)
,,4. Paramount Elite Prime Medical & Drug (HMO)
,,5. Paramount Elite Standard Medical & Drug (HMO)
Ohio,Paramount Insurance Company,"1. Paramount MediGap Plans (MedSelect) A, C, F, N, & G"
Ohio,SummaCare,1. SummaCare Medicare Advantage Plans (including Prescription Drug coverage):
,,2. SummaCare Medicare Ruby (HMO)
,,3. SummaCare Medicare Sapphire (HMO-POS)
,,4. SummaCare Medicare Emerald (HMO-POS)
,,5. SummaCare Medicare Topaz (HMO)
Ohio,The Health Plan,1. Medicare Supplement
,,"2. SecureCare HMO (options I, II and IV)"
,,3. SecureChoice PPO (option II)
Ohio,UPMC,1. UPMC for Life
Oklahoma,BlueCross BlueShield of Oklahoma,1. Blue Cross Medicare Advantage Basic (HMO)
Oklahoma,Coventry Health Care,1. Coventry Medicare MAPD*
Oklahoma,Humana,1. Medicare Advantage and Medicare Supplement
