gymId,location,address,city,state,zipcode,phoneNumber,gymType,website,pool,groupFitness,onlineEnrollment,notes,latitude,longitude,domainId,cardio,strength,aquatic,specialty,personalFitnessPlan,mindAndBody,distance,solrLocation
13506,World Gym Pensacola,6908 N. 9th Ave,Pensacola,FL,32504,850-484-9391,co-ed,www.worldgym.com/pensacola,True,False,False,,30.4955358,-87.1891022,0,True,True,False,False,True,False,45.14242172241211,"30.4955358,-87.1891022"
14973,Pensacola Fitness,6933 N. 9th Ave,Pensacola,FL,32504,850-474-0477,coed,pensacolafit.com,False,True,False,,30.4958491,-87.1890187,0,True,True,False,True,False,True,45.120269775390625,"30.4958491,-87.1890187"
14974,In Line Fitness,In Line Fitness	5628 Woodbine Rd,Santa Rosa,FL,32571,850-995-7770,coed,inlinefitnesspace.com,False,True,False,,30.6417767,-87.1809708,0,True,True,False,False,False,True,35.10159683227539,"30.6417767,-87.1809708"
10740,Snap Fitness,8259 Navarre Parkway,Navarre,FL,32566,850-515-0060,co-ed,www.snapfitness.com/gyms,False,False,False,,30.4015,-86.8776738,0,False,False,False,False,True,False,49.44704055786133,"30.4015,-86.8776738"
12979,98 Community Fitness,8136 Navarre Pkwy,Navarre,FL,32566,520-989-1135,co-ed,98communityfitness.com,True,False,False,,30.4017895,-86.8827101,0,False,False,False,False,False,False,49.294227600097656,"30.4017895,-86.8827101"
13012,Anytime Fitness,100 S Alcaniz St,Pensacola,FL,32502,850-469-1144,co-ed,www.anytimefitness.com/gyms/559/pensacola-fl-32502/,False,False,False,,30.4120741,-87.2098122,0,False,False,False,False,False,False,43.4246711730957,"30.4120741,-87.2098122"
13305,Anytime Fitness,9075 W. Hwy 98,Pensacola,FL,32506,850-435-4300,co-ed,www.anytimefitness.com/gyms/3978/pensacola-fl-32506/,False,True,False,,30.4031215,-87.3368904,0,True,True,False,False,False,False,44.22697067260742,"30.4031215,-87.3368904"
13306,Pensacola Athletic Center,7700 Hwy 98 West,Pensacola,FL,32506,850-453-1534,co-ed,pacactive.com/,True,True,False,,30.4002638,-87.3135637,0,True,True,False,False,False,False,44.2932243347168,"30.4002638,-87.3135637"
13307,Legendary Fitness & Performance Training,4469 Mobile Hwy,Pensacola,FL,32506,850-458-2020,co-ed,www.trainlikealegend.com,False,True,False,,30.4336389,-87.2755935,0,True,True,False,True,False,True,41.86872863769531,"30.4336389,-87.2755935"
13316,Anytime Fitness,3729 Gulf Breeze Pkwy.,Gulf Breeze,FL,32563,850-932-1111,co-ed,www.anytimefitness.com/gyms/628/gulf-breeze-fl-32563/,False,True,False,,30.3894702,-87.068142,0,True,True,False,False,False,False,46.256500244140625,"30.3894702,-87.068142"
13317,GB Premier Fitness,1147 Gulf Breeze Parkway,Gulf Breeze,FL,32561,850-934-0335,co-ed,gbafc.com,False,True,False,,30.3582114,-87.1575615,0,False,False,False,False,False,False,47.41843032836914,"30.3582114,-87.1575615"
10739,Snap Fitness,232 Racetrack Rd NE,Fort Walton Beach,FL,32547,850-362-6019,co-ed,www.snapfitness.com/gyms,False,False,False,,30.4454541,-86.6057609,0,False,False,False,False,True,False,45.782470703125,"30.4454541,-86.6057609"
13014,Anytime Fitness,339 Racetrack Rd. NW,Fort Walton Beach,FL,32547,850-586-1747,co-ed,www.anytimefitness.com/gyms/3188/fort-walton-beach-fl-32547/,False,False,False,,30.4493095,-86.6305634,0,False,False,False,False,False,False,46.024391174316406,"30.4493095,-86.6305634"
13422,Workout Anytime Destin,981 HWY 98,Destin,FL,32541,850-428-2333,co-ed,www.workoutanytime.com,False,False,False,,30.3885361,-86.4780464,0,False,False,False,False,False,False,47.836605072021484,"30.3885361,-86.4780464"
13427,Studio Fit ,233-A Racetrack Road NW,Fort Walton Beach,FL,32547,850-621-2145,co-ed,,False,True,False,,30.4491985,-86.6255844,0,True,True,False,True,False,True,45.92899703979492,"30.4491985,-86.6255844"
13428,Workout Anytime Fort Walton Beach,99 Eglin Pkwy NE,Fort Walton Beach,FL,32548,850-533-0555,co-ed,www.workoutanytime.com,False,False,False,,30.4171571,-86.6078199,0,False,False,False,False,False,False,47.677528381347656,"30.4171571,-86.6078199"
9231,Anytime Fitness,600 North Kings Hwy.,Wake Village ,TX,75501,903-832-5438,co-ed,www.anytimefitness.com/gyms/1238/wake-village-tx-75501/,False,True,False,,33.4198868,-94.1243755,0,True,True,False,False,False,False,46.596343994140625,"33.4198868,-94.1243755"
16737,Anytime Fitness,3415 Richmond Rd.,Texarkana,TX,75503,903-794-5348,coed,https://www.anytimefitness.com/gyms/2168/texarkana-tx-75503/,False,False,False,,33.4670541,-94.0953527,0,False,False,False,False,False,False,45.18887710571289,"33.4670541,-94.0953527"
9232,Anytime Fitness,108 North Loop 59,Atlanta,TX,75551,903-796-5438,co-ed,www.anytimefitness.com/gyms/2209/atlanta-tx-75551/,False,True,False,,33.1140485,-94.1822531,0,True,True,False,False,False,False,37.96509552001953,"33.1140485,-94.1822531"
9233,Anytime Fitness,980 James Bowie Dr.,New Boston,TX,75570,903-628-0035,co-ed,www.anytimefitness.com/gyms/2210/new-boston-tx-75570/,False,True,False,,33.4732521,-94.4025658,0,True,True,False,False,False,False,19.316116333007812,"33.4732521,-94.4025658"
9497,Planet Fitness,620 East End Boulevard South ,Marshall,TX,75670,903-471-8100,co-ed,www.planetfitness.com,False,False,False,,32.5393195,-94.3493011,0,False,False,False,False,False,False,45.80166244506836,"32.5393195,-94.3493011"
9625,The Wellness Center of Titus Regional,2015 Mulberry St,Mount Pleasant,TX,75455,903-434-8000,co-ed,www.titusregional.com/the-wellness-center/,True,True,False,,33.1765564,-94.9730944,0,True,True,True,True,False,True,49.84597396850586,"33.1765564,-94.9730944"
11852,Curves,1899-B N. Westwood Blvd.,Poplar Bluff,MO,63901,573-686-5610,women,www.curves.com/locations,False,False,False,,36.774651,-90.4206378,0,False,False,False,False,False,False,47.44915771484375,"36.774651,-90.4206378"
14175,Planet Fitness,950 N Westwood Blvd,Poplar Bluff,MO,63901,573-727-0038,co-ed,www.planetfitness.com,False,False,False,,36.7649346,-90.4127013,0,False,False,False,False,False,False,46.959285736083984,"36.7649346,-90.4127013"
14228,The Firm Family Fitness,1610 Freedom Drive,West Plains,MO,65775,417-257-7800,co-ed,,False,True,False,,36.7465694,-91.8636149,0,True,False,False,False,False,True,44.588287353515625,"36.7465694,-91.8636149"
16649,Willow Springs Branch YMCA,405 W. Main,Howell,MO,65793,417-469-5101,coed,www.ozarksfamilyymca.org,True,False,False,,36.9947105,-91.9734745,0,False,True,False,False,False,False,49.844764709472656,"36.9947105,-91.9734745"
16644,Mountain Grove Branch YMCA,1 YMCA Dr.,Mountain Grove,MO,65711,417-926-6737,coed,,False,True,False,,37.1363535,-92.2584488,0,True,True,True,False,True,True,47.73114776611328,"37.1363535,-92.2584488"
16648,Cabool YMCA,526 Ozark Ave.,Cabool,MO,65689,417-962-5333,coed,,True,False,False,,37.1237037,-92.0995382,0,False,False,False,False,False,False,47.308109283447266,"37.1237037,-92.0995382"
14221,CoxHealth Fitness Center Branson,1500 Branson Hills Parkway,Branson,MO,65616,417-348-6066,coed,www.coxhealth.com/services/fitness-centers/,False,True,False,,36.6877598,-93.2401552,0,True,True,False,False,False,True,32.232688903808594,"36.6877598,-93.2401552"
14227,Fox Fitness 24,24832 MO-39,Shell Knob,MO,65747,417-858-3488,co-ed,www.foxfitness24.com/,False,True,False,,36.5054686,-93.5653429,0,False,False,False,False,False,False,32.44402313232422,"36.5054686,-93.5653429"
14282,Ozark Mountain Family YMCA,175 Industrial Park Dr.,Hollister,MO,65672,417-337-9622,coed,www.orymca.org,False,False,False,,36.6093181,-93.2240598,0,True,True,False,False,False,True,26.777462005615234,"36.6093181,-93.2240598"
15207,Southwest Fitness,"16282 state hywy 13, suite h",Branson West,MO,65737,417-230-1245,coed,www.southwestfit.com/,False,True,False,,36.730845,-93.375415,0,True,True,False,True,False,True,37.655433654785156,"36.730845,-93.375415"
14689,Cassville-YMCA,408 State Hwy 248,Cassville,MO,65625,417-846-1535,coed,cassvilleymca.org/,True,False,False,,36.6746763,-93.8439898,0,True,True,True,True,False,True,41.179195404052734,"36.6746763,-93.8439898"
11860,Curves,300 S. Kyler St,Monett,MO,65708,417-235-1400,women,www.curves.com/locations,False,False,False,,36.9157832,-93.914374,0,False,False,False,False,False,False,45.24260330200195,"36.9157832,-93.914374"
14277,Monett Area YMCA,115 S. Lincoln Ave.,Monett,MO,65708,417-235-8213,coed,www.orymca.org,True,True,False,,36.914376,-93.9293545,0,True,True,True,True,False,True,45.531429290771484,"36.914376,-93.9293545"
14223,Ann Short Turner Community Center,205 N MISSOURI AVE,Mansfield,MO,65704,417-924-7070,co-ed,annshortturnercommunitycenter.com,False,True,False,,37.1102249,-92.5877675,0,True,True,False,False,False,False,48.1048469543457,"37.1102249,-92.5877675"
11032,Snap Fitness,830 West Mount Vernon Street,Nixa,MO,65714,417-725-6656,co-ed,www.snapfitness.com/gyms,False,False,False,,37.0435565,-93.3114524,0,False,False,False,False,True,False,49.21052169799805,"37.0435565,-93.3114524"
14226,CoxHealth Fitness Centers in Republic,711 E. Miller Rd,Republic,MO,65738,417-269-3282,coed,www.coxhealth.com/services/fitness-centers/,False,True,False,,37.1110395,-93.4660035,0,True,True,False,True,False,True,48.907901763916016,"37.1110395,-93.4660035"
15658,The OC,1530 W Jackson St.,Ozark,MO,65721,417-581-7002,coed,www.ozarkmissouri.com/97/Community-Center,True,False,False,,37.0248173,-93.2219276,0,False,False,False,False,True,False,49.551544189453125,"37.0248173,-93.2219276"
14225,Anytime Fitness,1508 W. Hwy. J,Ozark,MO,65721,417-581-5500,co-ed,www.anytimefitness.com/gyms/2411/ozark-mo-65721/,False,False,False,,37.0700455,-93.2214152,0,False,False,False,False,False,False,45.791358947753906,"37.0700455,-93.2214152"
14916,The Nixa Community Center (The X Center),701 N. Taylor Way,Nixa,MO,65714,417-725-5486,coed,www.nixaparks.com,True,True,False,,37.0517245,-93.2820348,0,True,True,True,True,False,True,45.64337921142578,"37.0517245,-93.2820348"
9883,Genesis Health Clubs,1249 East Battlefield,Springfield,MO,65804,417-883-6105,co-ed,www.genesishealthclubs.com,True,True,False,,37.1596024,-93.2757081,0,True,True,True,True,True,True,47.38770294189453,"37.1596024,-93.2757081"
11033,Snap Fitness,3659 E Sunshine St,Springfield,MO,65809,417-889-7627,co-ed,www.snapfitness.com/gyms,False,True,False,,37.1802082,-93.219699,0,True,True,False,False,True,False,49.25626754760742,"37.1802082,-93.219699"
11861,Curves,1349 E. Montclair Street,Springfield,MO,65804,417-823-8232,women,www.curves.com/locations,False,False,False,,37.1577575,-93.2728723,0,False,False,False,False,False,False,47.28016662597656,"37.1577575,-93.2728723"
14231,10 Fitness,1444 S Glenstone,Springfield,MO,65804,501-217-9700,co-ed,10fitness.com/,False,True,False,,37.1875783,-93.2622385,0,True,True,False,True,False,True,49.39817810058594,"37.1875783,-93.2622385"
14232,CoxHealth Fitness Center - The Meyer Center,3545 South National,Springfield,MO,65807,417-269-3282,coed,www.coxhealth.com/services/fitness-centers/,True,True,False,,37.14957,-93.2779731,0,True,True,True,True,True,True,46.68460464477539,"37.14957,-93.2779731"
14275,Ozarks Regional YMCA - Pat Jones Branch,1901 E. Republic Rd.,Springfield,MO,65804,417-881-1599,coed,www.orymca.org/,True,True,False,,37.1373505,-93.2614495,0,True,True,True,True,False,True,45.965553283691406,"37.1373505,-93.2614495"
16469,Planet Fitness-Springfield SC,1730 South Campbell Ave,Springfield,MO,65807,417-719-1010,coed,https://www.planetfitness.com/gyms/springfield-s-campbell-ave-mo,False,False,False,,37.1838772,-93.2949155,0,False,False,False,False,False,False,48.94230270385742,"37.1838772,-93.2949155"
16470,Planet Fitness-Springfield WR,2851 West Republic Rd,Springfield,MO,65807,417-877-0244,coed,https://www.planetfitness.com/gyms/springfield-mo,False,False,False,,37.1384605,-93.33621,0,False,False,False,False,False,False,45.647037506103516,"37.1384605,-93.33621"
16642,Chesterfield Family Center,2511 W. Republic Rd.,Springfield,MO,65807,417-891-1616,coed,www.parkboard.org/chesterfield,True,True,False,,37.1384173,-93.3297674,0,True,True,True,False,False,False,45.6634407043457,"37.1384173,-93.3297674"
16643,Dan Kinney Center,2701 S. Blackman Rd,Springfield,MO,65809,417-891-1616,coed,www.parkboard.org,False,True,False,,37.1634536,-93.2172109,0,True,False,False,False,False,False,48.14286422729492,"37.1634536,-93.2172109"
16647,Seymour Branch YMCA,315 E. Center,Seymour,MO,65746,417-935-3177,coed,ozarksfamilyymca.org,True,True,False,,37.1476595,-92.763931,0,True,False,True,False,True,False,48.44588088989258,"37.1476595,-92.763931"
8337,Aerofit Health Club,1426 Basin,Tahleguah,OK,74464,918-431-9900,co-ed,www.aerofithealthclub.com,False,True,False,,35.8993854,-94.9721074,0,True,False,False,False,False,False,40.36320495605469,"35.8993854,-94.9721074"
14942,Joplin Family YMCA,3404 W. McIntosh Cir.,Joplin,MO,64804,417-781-9622,coed,joplinfamilyy.org/,False,True,False,,37.0523058,-94.5245156,0,True,True,True,False,False,True,43.74501037597656,"37.0523058,-94.5245156"
15659,Fair Acres family YMCA,2600 S. Grand Ave.,Carthage,MO,64836,417-358-1070,coed,www.fairacresymca.org/,True,True,False,,37.1439358,-94.310417,0,True,True,True,True,False,True,47.001930236816406,"37.1439358,-94.310417"
8347,Sallisaw Family Fitness,3223 E Cherokee Ave,Sallisaw,OK,74955,918-790-3488,co-ed,,False,True,False,,35.447638,-94.7536125,0,True,True,False,True,False,True,33.050750732421875,"35.447638,-94.7536125"
8335,City of Pryor: Pryor Creek Recreation Center,1111 S.E. 9th Street,Pryor,OK,74361,918-825-6909,co-ed,pryorcreek.org/recreation/,True,True,False,,36.2928447,-95.3044989,0,True,True,True,False,False,True,46.59360885620117,"36.2928447,-95.3044989"
8336,Champion Fitness,2250 E Shawnee Bypass,Muskogee,OK,74403,918-686-7539,co-ed,www.champion-fitness.com,False,True,False,,35.7714037,-95.342655,0,True,True,False,False,False,True,49.6932373046875,"35.7714037,-95.342655"
6770,YouFit - Phoenix- Bethany Home Rd.,1515 E. Bethany Home Rd,Phoenix,AZ,85016,602-732-3001,co-ed,www.youfit.com/find-club/all,False,False,False,,33.5236804,-112.0486848,0,False,False,False,False,False,False,3.030548095703125,"33.5236804,-112.0486848"
6771,YouFit - Phoenix- 35th Ave.,6135 N 35th Ave,Phoenix,AZ,85017,602-733-6720,co-ed,www.youfit.com/find-club/all,False,False,False,,33.5253084,-112.1342385,0,False,False,False,False,False,False,5.477763652801514,"33.5253084,-112.1342385"
6772,YouFit - Phoenix- 32nd St.,10630 N 32nd St.,Phoenix,AZ,85028,602-455-5264,co-ed,www.youfit.com/find-club/all,False,False,False,,33.5829811,-112.0131779,0,False,False,False,False,False,False,2.5648550987243652,"33.5829811,-112.0131779"
6773,YouFit - Glendale,9675 W. Cambelback Road,Phoenix,AZ,85037,623-872-8000,co-ed,www.youfit.com/find-club/all,True,True,False,,33.5084185,-112.2675409,0,True,True,True,False,True,True,12.976910591125488,"33.5084185,-112.2675409"
6774,YouFit - Mesa,1135 Recker Road,Mesa,AZ,85205,480-807-5080,co-ed,www.youfit.com/find-club/all,True,True,False,,33.436368,-111.7016895,0,True,True,True,False,False,True,22.202861785888672,"33.436368,-111.7016895"
6776,YouFit - Gilbert (N. Higley Rd.),1668 N. Higley Road,Gilbert,AZ,85234,480-396-0086,co-ed,www.youfit.com/find-club/all,True,True,False,,33.3807824,-111.7224129,0,False,True,True,False,False,False,23.032081604003906,"33.3807824,-111.7224129"
6777,YouFit - Chandler,3050 S. Gilbert Rd.,Chandler,AZ,85249,480-413-1111,co-ed,www.youfit.com/find-club/all,True,True,False,,33.2616432,-111.7896833,0,True,True,True,False,False,True,26.034818649291992,"33.2616432,-111.7896833"
6778,YouFit - Scottsdale- Greenway Rd.,4827 E Greenway Rd,Scottsdale,AZ,85254,602-732-4022,co-ed,www.youfit.com/find-club/all,False,False,False,,33.6259576,-111.9769401,0,False,False,False,False,False,False,5.988100051879883,"33.6259576,-111.9769401"
6779,YouFit - Scottsdale- Scottsdale Rd.,2845 N Scottsdale Rd,Scottsdale,AZ,85257,480-658-1321,co-ed,www.youfit.com/find-club/all,False,False,False,,33.4796855,-111.9261175,0,False,False,False,False,False,False,9.51845932006836,"33.4796855,-111.9261175"
6780,YouFit - East Gilbert- Williams Field Rd.,870 E Williams Field Rd,Gilbert,AZ,85295,480-658-1620,co-ed,www.youfit.com/find-club/all,False,False,False,,33.3067465,-111.77145,0,False,False,False,False,False,False,24.266292572021484,"33.3067465,-111.77145"
6781,YouFit - Gilbert (W. Williams Field Rd.),1433 W. Williams Field Rd.,Gilbert,AZ,85295,480-963-5070,co-ed,www.youfit.com/find-club/all,True,True,False,,33.3065916,-111.7592103,0,True,True,True,False,False,True,24.752729415893555,"33.3065916,-111.7592103"
6782,YouFit - Glendale- Cactus Rd.,4414 W Cactus Road,Glendale,AZ,85304,602 283 0800,co-ed,www.youfit.com/find-club/all,False,False,False,,33.5963635,-112.1527215,0,False,False,False,False,False,False,6.047961711883545,"33.5963635,-112.1527215"
6783,YouFit - Tolleson- McDowell Rd.,9897 W McDowell Rd,Tolleson,AZ,85353,623-282-9830,co-ed,www.youfit.com/find-club/all,False,False,False,,33.4647396,-112.2709694,0,False,False,False,False,False,False,14.389891624450684,"33.4647396,-112.2709694"
9995,LA Fitness,710 WEST CAMELBACK ROAD,Phoenix,AZ,85013,602-282-0243,co-ed,www.lafitness.com,True,True,False,,33.5094325,-112.083839,0,True,True,False,False,False,False,4.364497184753418,"33.5094325,-112.083839"
9996,LA Fitness,2077 EAST CAMELBACK ROAD,Phoenix,AZ,85016,602-241-9800,co-ed,www.lafitness.com,True,True,False,,33.5091939,-112.0373806,0,True,True,False,False,False,False,4.125294208526611,"33.5091939,-112.0373806"
9997,LA Fitness,3233 E CAMELBACK RD,Phoenix,AZ,85018,602-224-9394,co-ed,www.lafitness.com,True,True,False,,33.5098695,-112.011843,0,True,True,False,False,False,False,4.642639636993408,"33.5098695,-112.011843"
9998,LA Fitness,2200 W NORTHERN AVE,Phoenix,AZ,85021,602-995-1234,co-ed,www.lafitness.com,True,True,False,,33.5531846,-112.1062539,0,True,True,False,False,False,False,3.1861824989318848,"33.5531846,-112.1062539"
9999,LA Fitness,244 EAST GREENWAY PKWY.,Phoenix,AZ,85022,602-863-3830,co-ed,www.lafitness.com,True,True,False,,33.6358266,-112.0716209,0,True,True,False,False,False,False,4.843651294708252,"33.6358266,-112.0716209"
10000,LA Fitness,11630 TATUM BLVD.,Phoenix,AZ,85028,602-404-4700,co-ed,www.lafitness.com,True,True,False,,33.5928824,-111.9793761,0,True,True,False,False,False,False,4.621892929077148,"33.5928824,-111.9793761"
10001,Blast Fitness,4310 W Indian School Rd,Phoenix,AZ,85031,602-595-0894,co-ed,www.blastfitness.com,False,True,False,,33.4949835,-112.1524816,0,True,True,False,False,False,False,7.579006195068359,"33.4949835,-112.1524816"
10002,LA Fitness,3301 E BELL RD,Phoenix,AZ,85032,602-567-0240,co-ed,www.lafitness.com,True,True,False,,33.6405015,-112.0107516,0,True,True,False,False,False,False,5.623401641845703,"33.6405015,-112.0107516"
10003,LA Fitness,7640 W. THOMAS ROAD,Phoenix,AZ,85033,623-845-9920,co-ed,www.lafitness.com,True,True,False,,33.4801655,-112.2228539,0,True,True,False,False,False,False,11.460453987121582,"33.4801655,-112.2228539"
10004,LA Fitness,2325 E BASELINE RD,Phoenix,AZ,85042,623-255-3391,co-ed,www.lafitness.com,True,True,False,,33.3776525,-112.032054,0,True,True,False,False,False,False,13.165557861328125,"33.3776525,-112.032054"
10005,LA Fitness,4836 E. CHANDLER BLVD,Phoenix,AZ,85048,480-592-9090,co-ed,www.lafitness.com,True,True,False,,33.3053905,-111.978692,0,True,True,False,False,False,False,18.607805252075195,"33.3053905,-111.978692"
10006,LA Fitness,10046 N METRO PARKWAY WEST,Phoenix,AZ,85051,602-281-1132,co-ed,www.lafitness.com,True,True,False,,33.5768039,-112.1247654,0,True,True,False,False,False,False,4.1490960121154785,"33.5768039,-112.1247654"
10008,LA Fitness,7225 SOUTH POWER RD,Queen Creek,AZ,85142,480-988-6262,co-ed,www.lafitness.com,True,True,False,,33.2851291,-111.6862258,0,True,True,False,False,False,False,28.792394638061523,"33.2851291,-111.6862258"
10009,LA Fitness,1844 W RIO SALADO PARKWAY,Mesa,AZ,85201,480-296-2381,co-ed,www.lafitness.com,True,True,False,,33.4294975,-111.8702655,0,True,True,False,False,False,False,14.222908973693848,"33.4294975,-111.8702655"
10010,LA Fitness,445 N STAPLEY DRIVE,Mesa,AZ,85203,480-751-1992,co-ed,www.lafitness.com,True,True,False,,33.423696,-111.8052671,0,True,True,False,False,False,False,17.413820266723633,"33.423696,-111.8052671"
10011,LA Fitness,1731 S GREENFIELD RD,Mesa,AZ,85206,480-635-9600,co-ed,www.lafitness.com,True,True,False,,33.3838291,-111.737716,0,True,True,False,False,False,False,22.185407638549805,"33.3838291,-111.737716"
10012,Blast Fitness,18631 N. 19th Avenue,Phoenix,AZ,85207,623-581-1999,co-ed,www.blastfitness.com,False,True,False,,33.656697,-112.099747,0,True,True,False,False,False,False,6.7202911376953125,"33.656697,-112.099747"
10013,LA Fitness,1905 SOUTH SIGNAL BUTTE,Mesa,AZ,85209,480-984-4900,co-ed,www.lafitness.com,True,True,False,,33.3813269,-111.6007004,0,True,True,False,False,False,False,29.094419479370117,"33.3813269,-111.6007004"
10014,Blast Fitness,1010 West Southern Ave,Mesa,AZ,85210,855-805-0397,co-ed,www.blastfitness.com,False,True,False,,33.3932425,-111.8530623,0,True,True,False,False,False,False,16.681198120117188,"33.3932425,-111.8530623"
10015,LA Fitness,2605 NORTH POWER ROAD,Mesa,AZ,85215,480-296-0242,co-ed,www.lafitness.com,True,True,False,,33.462828,-111.6838876,0,True,True,False,False,False,False,22.48825454711914,"33.462828,-111.6838876"
10016,LA Fitness,2100 N. DOBSON ROAD,Chandler,AZ,85224,480-782-7560,co-ed,www.lafitness.com,True,True,False,,33.3374841,-111.8764868,0,True,True,False,False,False,False,18.880767822265625,"33.3374841,-111.8764868"
10017,LA Fitness,3985 S ARIZONA AVE,Chandler,AZ,85248,480-426-7819,co-ed,www.lafitness.com,True,True,False,,33.2495131,-111.8410959,0,True,True,False,False,False,False,25.149024963378906,"33.2495131,-111.8410959"
10018,LA Fitness,13220 N SCOTTSDALE RD,Scottsdale,AZ,85254,480-951-8883,co-ed,www.lafitness.com,True,True,False,,33.6066205,-111.925967,0,True,True,False,False,False,False,7.830860137939453,"33.6066205,-111.925967"
10019,LA Fitness,1900 N. SCOTTSDALE ROAD,Scottsdale,AZ,85257,480-675-7600,co-ed,www.lafitness.com,True,True,False,,33.4687448,-111.926257,0,True,True,False,False,False,False,10.010937690734863,"33.4687448,-111.926257"
10020,LA Fitness,7365 N. VIA PASEO DEL SUR,Scottsdale,AZ,85258,480-483-3100,co-ed,www.lafitness.com,True,True,False,,33.5436427,-111.9061374,0,True,True,False,False,False,False,8.64681625366211,"33.5436427,-111.9061374"
10021,LA Fitness,7330 E SHEA BLVD,Scottsdale,AZ,85260,480-348-0006,co-ed,www.lafitness.com,True,True,False,,33.5822968,-111.9236391,0,True,True,False,False,False,False,7.551767826080322,"33.5822968,-111.9236391"
10022,LA Fitness,63 E. SOUTHERN AVENUE,Tempe,AZ,85282,480-829-0622,co-ed,www.lafitness.com,True,True,False,,33.3927935,-111.9387291,0,True,True,False,False,False,False,13.757857322692871,"33.3927935,-111.9387291"
10023,LA Fitness,7810 S. PRIEST DRIVE,Tempe,AZ,85284,480-496-8805,co-ed,www.lafitness.com,True,True,False,,33.346503,-111.9631629,0,True,True,False,False,False,False,16.12493133544922,"33.346503,-111.9631629"
10024,LA Fitness,97 S VAL VISTA DRIVE,Gilbert,AZ,85296,480-497-4424,co-ed,www.lafitness.com,True,True,False,,33.3485724,-111.7555706,0,True,True,False,False,False,False,22.88269805908203,"33.3485724,-111.7555706"
10025,LA Fitness,3625 S GILBERT RD,Gilbert,AZ,85297,480-845-6594,co-ed,www.lafitness.com,True,True,False,,33.2811326,-111.7895546,0,True,True,False,False,False,False,24.958221435546875,"33.2811326,-111.7895546"
